Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,52.4%,,53.5%,,35.5%,,18.6%,,10.8%,,29.4%,,8.0%,,27.1%,,35.1%
Atlanta,24,51.2%,10,54.2%,5,38.7%,15,18.7%,22,7.6%,21,26.4%,16,7.9%,17,27.1%,15,35.0%
Boston,16,52.3%,19,53.2%,20,34.1%,12,19.4%,15,10.6%,15,30.0%,27,6.1%,6,29.8%,13,35.9%
Brooklyn,15,52.4%,1,55.4%,1,42.0%,29,14.8%,28,5.6%,29,20.4%,8,9.1%,13,28.5%,9,37.5%
Charlotte,22,51.8%,6,54.4%,9,37.6%,19,18.0%,27,6.1%,24,24.1%,14,8.2%,5,30.1%,6,38.3%
Chicago,27,50.2%,3,54.8%,2,40.0%,24,16.6%,26,6.4%,26,23.0%,11,8.4%,10,28.6%,10,37.0%
Cleveland,26,50.3%,22,52.9%,24,33.4%,2,23.4%,18,8.7%,10,32.1%,20,7.0%,15,27.6%,18,34.5%
Dallas,4,54.7%,14,53.6%,27,31.7%,17,18.6%,21,7.7%,22,26.2%,7,9.4%,2,32.6%,2,42.0%
Denver,25,50.9%,24,52.6%,19,34.2%,4,22.0%,12,12.5%,6,34.5%,23,6.8%,24,24.4%,27,31.3%
Detroit,5,54.4%,9,54.2%,7,38.1%,13,19.3%,24,7.5%,20,26.7%,2,10.7%,25,24.4%,14,35.1%
Golden State,29,48.7%,28,52.3%,21,34.0%,7,20.2%,2,16.7%,2,36.9%,28,5.6%,27,23.5%,28,29.1%
Houston,8,53.7%,4,54.7%,22,33.5%,27,15.1%,29,5.4%,30,20.4%,1,12.3%,1,33.8%,1,46.1%
Indiana,12,52.9%,21,52.9%,10,37.2%,16,18.7%,3,16.4%,4,35.0%,18,7.5%,30,20.3%,29,27.8%
LA Clippers,21,51.9%,18,53.2%,14,35.6%,11,19.6%,13,12.1%,12,31.7%,10,8.5%,26,24.1%,22,32.6%
LA Lakers,3,54.9%,11,54.1%,3,40.0%,26,15.1%,9,13.6%,18,28.7%,9,8.6%,28,22.7%,26,31.3%
Memphis,19,52.0%,20,53.1%,15,35.3%,1,23.6%,19,8.2%,11,31.9%,17,7.8%,21,25.0%,21,32.8%
Miami,2,54.9%,13,53.6%,16,34.9%,21,17.3%,14,11.6%,17,28.9%,4,10.1%,18,26.0%,12,36.2%
Milwaukee,1,56.3%,7,54.3%,12,36.6%,23,16.7%,25,7.1%,25,23.9%,12,8.3%,4,31.2%,4,39.5%
Minnesota,20,52.0%,5,54.5%,6,38.3%,18,18.1%,30,4.9%,27,23.0%,24,6.6%,3,32.1%,5,38.7%
New Orleans,9,53.6%,12,53.7%,23,33.4%,20,17.5%,17,9.3%,19,26.8%,3,10.4%,8,29.4%,3,39.7%
New York,30,48.6%,16,53.3%,11,37.0%,22,17.3%,6,14.3%,13,31.6%,22,6.9%,22,24.5%,25,31.4%
Oklahoma City,14,52.5%,27,52.5%,26,33.2%,8,20.1%,5,14.6%,5,34.7%,25,6.3%,19,25.8%,23,32.1%
Orlando,28,49.6%,25,52.6%,25,33.2%,9,20.1%,8,13.6%,8,33.7%,29,5.4%,14,27.6%,20,33.0%
Philadelphia,6,54.3%,23,52.7%,17,34.5%,6,21.0%,11,13.2%,7,34.2%,21,6.9%,23,24.4%,24,31.4%
Phoenix,11,52.9%,8,54.3%,8,37.9%,28,15.0%,16,10.4%,23,25.4%,13,8.3%,12,28.5%,11,36.7%
Portland,18,52.1%,29,52.2%,28,30.3%,10,19.9%,4,15.3%,3,35.2%,19,7.0%,16,27.4%,19,34.4%
Sacramento,13,52.6%,26,52.6%,29,29.9%,14,18.8%,10,13.5%,9,32.3%,15,8.2%,7,29.7%,8,37.8%
San Antonio,23,51.6%,30,50.9%,30,29.3%,5,21.3%,1,22.6%,1,43.9%,30,4.8%,29,22.0%,30,26.8%
Toronto,17,52.3%,2,55.0%,4,39.9%,30,14.4%,23,7.6%,28,21.9%,6,9.4%,9,28.7%,7,38.1%
Utah,10,53.5%,17,53.3%,18,34.4%,3,22.4%,20,8.2%,14,30.6%,5,9.7%,20,25.2%,16,34.9%
Washington,7,53.8%,15,53.5%,13,35.9%,25,15.3%,7,14.1%,16,29.4%,26,6.2%,11,28.5%,17,34.7%
